text,similarity,embedding
cat,0.2783862054347992,"[0.01, 0.01, 0.0]"
tiger,0.2395583689212799,"[-0.0, 0.03, 0.01]"
socks,0.23531201481819153,"[-0.01, 0.01, -0.02]"
mouse,0.23520848155021667,"[-0.04, 0.02, -0.0]"
boots,0.23442257940769196,"[-0.0, 0.02, -0.02]"
person,0.2292843461036682,"[-0.0, 0.02, -0.0]"
rat,0.22281549870967865,"[-0.01, 0.02, -0.01]"
necklace,0.2217884510755539,"[-0.03, 0.03, -0.02]"
sneakers,0.2213522493839264,"[-0.02, 0.01, -0.01]"
dog,0.22083763778209686,"[0.01, 0.03, 0.01]"
rabbit,0.21997986733913422,"[-0.03, 0.01, -0.01]"
cap,0.2162446677684784,"[-0.01, 0.05, -0.03]"
tie,0.21619349718093872,"[-0.02, 0.04, 0.0]"
sweater,0.21580785512924194,"[-0.0, 0.02, 0.0]"
t-shirt,0.21562699973583221,"[0.02, 0.06, 0.02]"
owl,0.2152712047100067,"[0.0, 0.04, -0.01]"
A photo of a mouse,0.21514475345611572,"[-0.01, 0.02, -0.02]"
scarf,0.21495592594146729,"[0.0, -0.0, -0.02]"
lion,0.2142445296049118,"[0.02, 0.02, 0.01]"
earrings,0.21328017115592957,"[-0.0, -0.02, -0.03]"
glasses,0.21304944157600403,"[0.01, 0.05, -0.0]"
jeans,0.21198883652687073,"[0.04, 0.02, 0.05]"
helmet,0.20993249118328094,"[-0.01, 0.01, -0.03]"
fish,0.20983457565307617,"[-0.0, 0.01, -0.0]"
coat,0.20810414850711823,"[-0.02, 0.06, 0.01]"
bee,0.20748038589954376,"[-0.02, 0.01, -0.0]"
A photo of a bowl,0.20727631449699402,"[0.0, 0.06, -0.03]"
spider,0.2071772664785385,"[0.03, 0.0, -0.02]"
wolf,0.2068222612142563,"[0.01, -0.0, 0.02]"
cow,0.20676374435424805,"[0.02, 0.02, 0.0]"
hamster,0.20668253302574158,"[0.0, 0.01, -0.01]"
hat,0.20627450942993164,"[0.01, 0.03, -0.05]"
bird,0.2061450034379959,"[0.02, 0.04, -0.03]"
horse,0.20471642911434174,"[0.01, 0.01, -0.0]"
pants,0.2046748697757721,"[0.02, 0.05, 0.05]"
fox,0.2044302374124527,"[-0.01, 0.02, 0.0]"
snake,0.20417778193950653,"[0.0, 0.03, 0.01]"
zebra,0.20219703018665314,"[-0.02, -0.01, 0.06]"
shirt,0.20187348127365112,"[0.02, 0.06, 0.01]"
chicken,0.20179346203804016,"[0.01, 0.04, -0.05]"
ring,0.20165207982063293,"[-0.05, 0.04, 0.01]"
bear,0.20085673034191132,"[0.02, -0.01, 0.01]"
gloves,0.2007102370262146,"[-0.01, 0.05, -0.0]"
frog,0.2000240534543991,"[-0.0, 0.01, -0.02]"
butterfly,0.19911853969097137,"[0.0, -0.02, -0.01]"
watch,0.19890196621418,"[-0.0, 0.01, -0.01]"
turtle,0.19823835790157318,"[0.02, 0.04, -0.03]"
giraffe,0.19807802140712738,"[0.03, 0.0, -0.03]"
shoes,0.19557084143161774,"[-0.02, -0.01, -0.02]"
bracelet,0.19528092443943024,"[-0.02, -0.01, 0.03]"
shorts,0.1948709785938263,"[-0.02, 0.03, 0.0]"
duck,0.1945948600769043,"[0.02, 0.03, -0.05]"
A photo of a orange,0.19440682232379913,"[0.01, 0.06, -0.04]"
dress,0.19327914714813232,"[0.0, 0.01, 0.0]"
dolphin,0.19172103703022003,"[0.01, 0.01, -0.0]"
sheep,0.19108441472053528,"[0.04, 0.01, -0.05]"
eagle,0.1907826066017151,"[0.0, 0.05, -0.04]"
A photo of a woman,0.18991462886333466,"[0.02, 0.02, -0.02]"
A photo of a cell phone,0.1894906908273697,"[0.01, 0.04, -0.04]"
sunglasses,0.1894795000553131,"[0.02, 0.04, -0.0]"
skirt,0.1889326423406601,"[-0.03, 0.07, 0.01]"
jacket,0.18888626992702484,"[-0.0, 0.07, 0.01]"
A photo of a spoon,0.18859927356243134,"[-0.01, 0.04, -0.05]"
elephant,0.18820029497146606,"[0.0, 0.03, 0.01]"
sandals,0.18730175495147705,"[-0.0, -0.03, -0.01]"
A photo of a apple,0.18683604896068573,"[0.02, 0.06, -0.02]"
A photo of a cup,0.18646842241287231,"[0.02, 0.05, -0.02]"
A photo of a kite,0.18637090921401978,"[0.05, 0.04, -0.04]"
A photo of a tie,0.18600021302700043,"[0.01, 0.03, -0.0]"
